External Library Name, Link to License, License Name, Binaries using the license.
fdt, https://android.googlesource.com/platform/external/dtc/+/refs/heads/master/README.license, BSD-2-Clause, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/dtc/+/refs/heads/master
pixman-1, https://gitlab.freedesktop.org/pixman/pixman/blob/master/COPYING, MIT, ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/pixman-0.34.0.tar.gz
dirent, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/dirent-win32/NOTICE, MIT, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/dirent-win32
vulkan-sdk, https://vulkan.lunarg.com/software/license/vulkan-1.2.162.1-linux-license-summary.txt, Apache-2.0, lib64/vulkan/vulkan-1.dll ./emulator.exe lib64/vulkan/vk_swiftshader.dll, https://vulkan.lunarg.com/sdk/home
e2fs, http://www.linfo.org/e2fsprogs.html, GPL-2.0-only, bin64/e2fsck.exe bin64/cygblkid-1.dll bin64/resize2fs.exe bin64/cyggcc_s-1.dll bin64/cygiconv-2.dll ./emulator.exe bin64/cygext2fs-2.dll bin64/cyge2p-2.dll bin64/cyguuid-1.dll bin64/cygintl-8.dll bin64/tune2fs.exe bin64/cygcom_err-2.dll bin64/cygwin1.dll, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/e2fsprogs-1.42.13-patches.tar.xz
libvpx, https://chromium.googlesource.com/webm/libvpx/+/refs/heads/master/LICENSE, BSD-3-Clause, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://chromium.googlesource.com/webm/libvpx/
Qt 5, https://doc.qt.io/qt-5/licensing.html, LGPL-3.0-only, lib64/qt/translations/qtwebengine_locales/el.pak lib64/qt/lib/Qt5NetworkAndroidEmu.dll lib64/qt/bin/qtwebengine_locales/uk.pak lib64/qt/bin/qtwebengine_locales/mr.pak lib64/qt/lib/Qt5QuickAndroidEmu.dll lib64/qt/plugins/imageformats/qwebp.dll lib64/qt/translations/qtwebengine_locales/sl.pak lib64/qt/lib/Qt5WebChannelAndroidEmu.dll lib64/qt/translations/qtwebengine_locales/pt-BR.pak lib64/qt/translations/qtwebengine_locales/zh-CN.pak lib64/qt/lib/Qt5CoreAndroidEmu.dll lib64/qt/bin/qtwebengine_locales/am.pak lib64/qt/translations/qtwebengine_locales/et.pak lib64/qt/translations/qtwebengine_locales/hu.pak lib64/qt/translations/qtwebengine_locales/fil.pak lib64/qt/translations/qtwebengine_locales/id.pak lib64/qt/bin/qtwebengine_locales/es.pak lib64/qt/bin/qtwebengine_locales/kn.pak lib64/qt/translations/qtwebengine_locales/en-GB.pak lib64/qt/bin/qtwebengine_locales/sw.pak lib64/qt/translations/qtwebengine_locales/de.pak lib64/qt/translations/qtwebengine_locales/da.pak lib64/qt/bin/qtwebengine_locales/lv.pak lib64/qt/translations/qtwebengine_locales/he.pak lib64/qt/translations/qtwebengine_locales/fr.pak lib64/qt/resources/qtwebengine_resources_200p.pak lib64/qt/bin/qtwebengine_locales/hu.pak lib64/qt/bin/qtwebengine_locales/ro.pak lib64/qt/bin/qtwebengine_locales/vi.pak lib64/qt/plugins/imageformats/qgif.dll lib64/qt/bin/qtwebengine_locales/nl.pak lib64/qt/bin/qtwebengine_locales/pl.pak lib64/qt/translations/qtwebengine_locales/tr.pak lib64/qt/plugins/iconengines/qsvgicon.dll lib64/qt/plugins/imageformats/qwbmp.dll lib64/qt/bin/qtwebengine_locales/lt.pak lib64/qt/bin/QtWebEngineProcess.exe lib64/qt/bin/qtwebengine_locales/da.pak lib64/qt/translations/qtwebengine_locales/fa.pak lib64/qt/bin/qtwebengine_locales/ta.pak lib64/qt/bin/qtwebengine_resources.pak lib64/qt/lib/Qt5WebSocketsAndroidEmu.dll lib64/qt/bin/qtwebengine_locales/ml.pak lib64/qt/bin/qtwebengine_locales/es-419.pak lib64/qt/bin/qtwebengine_locales/nb.pak lib64/qt/translations/qtwebengine_locales/ml.pak lib64/qt/plugins/imageformats/qsvg.dll lib64/qt/translations/qtwebengine_locales/ro.pak lib64/qt/bin/qtwebengine_locales/sr.pak lib64/qt/plugins/platforms/qwindows.dll lib64/qt/bin/qtwebengine_locales/et.pak lib64/qt/translations/qtwebengine_locales/ko.pak lib64/qt/plugins/imageformats/qico.dll lib64/qt/bin/qtwebengine_locales/ja.pak lib64/qt/translations/qtwebengine_locales/hi.pak lib64/qt/translations/qtwebengine_locales/vi.pak lib64/qt/translations/qtwebengine_locales/bg.pak lib64/qt/translations/qtwebengine_locales/cs.pak lib64/qt/translations/qtwebengine_locales/it.pak lib64/qt/translations/qtwebengine_locales/zh-TW.pak lib64/qt/translations/qtwebengine_locales/en-US.pak ./emulator.exe lib64/qt/translations/qtwebengine_locales/pt-PT.pak lib64/qt/bin/qtwebengine_locales/ar.pak lib64/qt/bin/qtwebengine_locales/id.pak lib64/qt/translations/qtwebengine_locales/ja.pak lib64/qt/translations/qtwebengine_locales/es.pak lib64/qt/bin/qtwebengine_locales/ms.pak lib64/qt/bin/qtwebengine_locales/fr.pak lib64/qt/translations/qtwebengine_locales/lt.pak lib64/qt/bin/qtwebengine_locales/hi.pak lib64/qt/bin/qtwebengine_locales/pt-PT.pak lib64/qt/translations/qtwebengine_locales/am.pak lib64/qt/translations/qtwebengine_locales/gu.pak lib64/qt/bin/qtwebengine_locales/en-US.pak lib64/qt/plugins/imageformats/qtga.dll lib64/qt/translations/qtwebengine_locales/ms.pak lib64/qt/resources/qtwebengine_resources.pak lib64/qt/bin/qtwebengine_resources_200p.pak lib64/qt/translations/qtwebengine_locales/ru.pak lib64/qt/bin/qtwebengine_resources_100p.pak lib64/qt/translations/qtwebengine_locales/ar.pak lib64/qt/translations/qtwebengine_locales/sr.pak lib64/qt/translations/qtwebengine_locales/es-419.pak lib64/qt/resources/qtwebengine_devtools_resources.pak lib64/qt/bin/qtwebengine_locales/sv.pak lib64/qt/translations/qtwebengine_locales/uk.pak lib64/qt/bin/qtwebengine_locales/hr.pak lib64/qt/resources/qtwebengine_resources_100p.pak lib64/qt/lib/Qt5WebEngineWidgetsAndroidEmu.dll lib64/qt/bin/icudtl.dat lib64/qt/translations/qtwebengine_locales/nl.pak lib64/qt/plugins/imageformats/qjpeg.dll lib64/qt/lib/Qt5SvgAndroidEmu.dll lib64/qt/lib/Qt5PositioningAndroidEmu.dll lib64/qt/bin/qtwebengine_locales/he.pak lib64/qt/plugins/imageformats/qtiff.dll lib64/qt/bin/qtwebengine_locales/el.pak lib64/qt/translations/qtwebengine_locales/sv.pak lib64/qt/bin/qtwebengine_locales/bg.pak lib64/qt/bin/qtwebengine_locales/fil.pak lib64/qt/bin/qtwebengine_locales/de.pak lib64/qt/plugins/bearer/qgenericbearer.dll lib64/qt/lib/Qt5WidgetsAndroidEmu.dll lib64/qt/translations/qtwebengine_locales/ta.pak lib64/qt/bin/qtwebengine_locales/pt-BR.pak lib64/qt/bin/qtwebengine_locales/te.pak lib64/qt/lib/Qt5QmlAndroidEmu.dll lib64/qt/translations/qtwebengine_locales/ca.pak lib64/qt/plugins/imageformats/qicns.dll lib64/qt/bin/qtwebengine_locales/en-GB.pak lib64/qt/bin/qtwebengine_locales/cs.pak lib64/qt/bin/qtwebengine_locales/it.pak lib64/qt/bin/qtwebengine_locales/ko.pak lib64/qt/translations/qtwebengine_locales/nb.pak lib64/qt/resources/icudtl.dat lib64/qt/lib/Qt5PrintSupportAndroidEmu.dll lib64/qt/lib/Qt5GuiAndroidEmu.dll lib64/qt/bin/qtwebengine_locales/fi.pak lib64/qt/translations/qtwebengine_locales/te.pak lib64/qt/bin/qtwebengine_devtools_resources.pak lib64/qt/bin/qtwebengine_locales/fa.pak lib64/qt/translations/qtwebengine_locales/fi.pak lib64/qt/lib/Qt5WebEngineCoreAndroidEmu.dll lib64/qt/bin/qtwebengine_locales/ru.pak lib64/qt/bin/qtwebengine_locales/zh-CN.pak lib64/qt/translations/qtwebengine_locales/th.pak lib64/qt/translations/qtwebengine_locales/hr.pak lib64/qt/bin/qtwebengine_locales/gu.pak lib64/qt/translations/qtwebengine_locales/kn.pak lib64/qt/translations/qtwebengine_locales/lv.pak lib64/qt/translations/qtwebengine_locales/bn.pak lib64/qt/bin/qtwebengine_locales/zh-TW.pak lib64/qt/lib/Qt5QuickWidgetsAndroidEmu.dll lib64/qt/bin/qtwebengine_locales/bn.pak lib64/qt/translations/qtwebengine_locales/mr.pak lib64/qt/translations/qtwebengine_locales/pl.pak lib64/qt/bin/qtwebengine_locales/tr.pak lib64/qt/translations/qtwebengine_locales/sw.pak lib64/qt/translations/qtwebengine_locales/sk.pak lib64/qt/bin/qtwebengine_locales/sl.pak lib64/qt/bin/qtwebengine_locales/th.pak lib64/qt/bin/qtwebengine_locales/sk.pak lib64/qt/bin/qtwebengine_locales/ca.pak, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
breakpad, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev/LICENSE, BSD-3-Clause, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev
Qt Gui, https://doc.qt.io/qt-5.12/qtGui-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-armel.exe ./qemu/windows-x86_64/qemu-system-i386.exe ./emulator-crash-service.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
ext4_utils, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/NOTICE, Apache-2.0, ./qemu-img.exe ./qemu/windows-x86_64/qemu-system-aarch64.exe ./qemu/windows-x86_64/qemu-system-i386-headless.exe ./emulator-crash-service.exe ./emulator.exe ./qemu/windows-x86_64/qemu-system-aarch64-headless.exe ./qemu/windows-x86_64/qemu-system-x86_64.exe ./qsn.exe ./qemu/windows-x86_64/qemu-system-x86_64-headless.exe ./qemu/windows-x86_64/qemu-system-i386.exe emugl_common.dll ./qemu/windows-x86_64/qemu-system-armel-headless.exe ./emulator-check.exe OpenglRender.dll ./qemu/windows-x86_64/qemu-system-armel.exe, https://android.googlesource.com/platform/system/extras/+/master/ext4_utils/
